name,File Name,medium,year,rotator,all,home,Portfolio,Underground,Opposition,Unrealized,Isolation,SeriesSix,Burn,PointsOfContention,Swarm,Swirls,Drone-related,Flat,PVC,Argument,TwelveHundredPieces,DTTW,Experiment,OtherPlastics,Card
,,,,,All Images,home,Portfolio,Underground,Opposition,Unrealized,Isolation,SeriesSix,Burn,PointsOfContention,Swarm,Swirls,Drone-related,Flat,PVC,Argument,TwelveHundredPieces,DTTW,Experiment,OtherPlastics,Card
Cloud Spiral,dave_cloud_spiral.jpg,"Wood, Photoshop",2022,,x,,,,,,,,,,,,,x,,,,,,,
Spikes,spikes.jpg,"CAD, Photoshop",2022,,x,,,,,,,,,,,,,x,,,,,,,
Bonus,Bonus.jpg,CAD,2021,,x,,,,,,,,,,,,,x,,,,,,,
Reoriented,IMG_0959.jpg,"Wood, Steel cable",2021,,x,,x,,,,,,,,,,x,,,,,,,,
Detail,IMG_1105.jpg,CAD,2021,,x,,,,,,,x,,,,,,x,,,,,,,
Isolation,IMG_1773.jpg,"Wood, Steel",2021,,x,x,,,,,x,x,,,,,,,,,,,,,
Unrealized,IMG_1906.jpg,"Wood, Steel",2021,,x,,,,,x,,x,,,,,,,,,,,,,
Sideshow,IMG_1950.jpg,Wood,2021,,x,x,,,,,,,,,,,,,,,,,,,
Reoriented,IMG_1982.jpg,"Wood, Steel cable",2021,,x,,x,,,,,,,,,,,,,,,,,,
Sideshow,IMG_1997.jpg,Wood,2021,,x,,,,,,,,,,,,,,,,,,,,
Reoriented,IMG_1998.jpg,"Wood, Steel cable",2021,,x,x,x,,,,,,,,,,,,,,,,,,
Unrealized,IMG_2019.jpg,"Wood, Steel",2021,,x,,,,,x,,x,,,,,,,,,,,,,
Unrealized,IMG_2037.jpg,"Wood, Steel",2021,,x,,,,,x,,x,,,,,,,,,,,,,
Series Six,IMG_2073.jpg,"CAD, Photoshop",2021,,x,,,,,,,x,,,,,,x,,,,,,,
Early Swirl prototype,IMG_2085.jpg,Wood,2021,,x,,,,,,,,,,,x,,,,,,,,,
Graveyard of the Arts,IMG_2212.jpg,Photography,2021,,x,x,,,,,,,,,,,x,,,,,,,,
Prototype,IMG_3562.jpg,"Aluminum, Wire",2021,,x,,x,,,,,,,,,,,,,,,,,,
March,IMG_3595.jpg,CAD,2021,,x,,,,,,,,,,,,,,,,,,,,
Train Crossing,IMG_3708.jpg,Photography,2021,,x,,x,,,,,,,,,,,x,,,,,,,
Series Six Prototype,IMG_4532.jpg,"Wood, Steel",2021,,x,,,,,,,x,,,,,,,,,,,,,
Swirl,IMG_4589.jpg,"Wood, Steel",2021,,x,,,,,,,x,,,,,,,,,,,,,
Summers End,IMG_4598.jpg,"Wood, Steel",2021,,x,,,,,,,x,,,,,,,,,,,,,
Assault,assault.jpg,"CAD, Photoshop",2021,,x,,,,,,,,,,,,,x,,,,,,,
Transition,transition.jpg,Photography,2018,,x,,x,,,,,,,,,,x,,,,,,,,
Falls Road,upper_falls_road.jpg,Photography,2018,,x,,,,,,,,,,,,x,,,,,,,,
Baby,baby.jpg,"PVC, Concrete",2020,,x,,x,,,,,,,,,,,,x,,,,,,
Nemesis,chase.jpg,"PVC, Photoshop",2020,,x,,,,,,,,,,,,,,x,,,,,,
Distraction,distraction.jpg,"Wood, Metal Pipe",2020,,x,x,,,,,,,,,,,,,,,,,,,
Furnace Test,furnace_test.jpg,PVC,2020,,x,,,,,,,,,,,,,,x,,,,,,
Isolation,IMG_4738.jpg,"Wood, Metal Pipe",2020,x,x,,,,,,x,x,,,,,,,,,,,,,
Isolation,isolation_above.jpg,"Wood, Metal Pipe",2020,,x,,,,,,x,x,,,,,,,,,,,,,
Isolation,isolation_bridge.jpg,"Wood, Metal Pipe",2020,,x,x,x,,,,x,x,,,,,,,,,,,,,
Isolation; specialized tool,isolation_drill.jpg,"Wood, Metal Pipe",2020,,x,,,,,,x,x,,,,,,,,,,,,,
Isolation - First Maquette,isolation_maquette_first.jpg,"Wood, Metal Pipe",2020,,x,,,,,,x,x,,,,,,,,,,,,,
Isolation - Second Maquette,isolation_maquette_second.jpg,"Wood, Metal Pipe",2020,,x,x,x,,,,x,x,,,,,,,,,,,,,
Isolation,isolation_sh.jpg,"Wood, Metal Pipe",2020,,x,,,,,,x,x,,,,,,,,,,,,,
Thing - Preparation,thing_tape.jpg,PVC,2020,,x,,,,,,,,,,,,,,x,,,,,,
Thing,thing_tree.jpg,PVC,2020,,x,,,,,,,,,,,,,,x,,,,,,
Series Six Prototype,ss_prototype01.jpg,"Wood, Metal Pipe",2019,,x,x,x,,,,,x,,,,,,,,,,,,,
Series Six Prototype,ss_prototype02.jpg,"Wood, Metal Pipe",2019,,x,,,,,,,x,,,,,,,,,,,,,
Series Six Prototype,ss_prototype03.jpg,"Wood, Metal Pipe",2019,,x,,,,,,,x,,,,,x,,,,,,,,
Series Six Prototype,ss_prototype04.jpg,"Wood, Metal Pipe",2019,,x,,,,,,,x,,,,,x,,,,,,,,
Summers End,ss_summersend00.jpg,"Wood, Metal Pipe",2019,,x,x,x,,,,,x,,,,,x,,,,,,,,
Summers End,ss_summersend01.jpg,"Wood, Metal Pipe",2019,,x,,,,,,,x,,,,,,,,,,,,,
Summers End,ss_summersend02.jpg,"Wood, Metal Pipe",2019,,x,,,,,,,x,,,,,,,,,,,,,
Summers End,ss_summersend03.jpg,"Wood, Metal Pipe",2019,,x,,,,,,,x,,,,,,,,,,,,,
Summers End,ss_summersend04.jpg,"Wood, Metal Pipe",2019,,x,,,,,,,x,,,,,,,,,,,,,
Summers End,ss_summersend05.jpg,"Wood, Metal Pipe",2019,,x,,,,,,,x,,,,,x,,,,,,,,
Swarm at NBOSS,swarm_nboss.jpg,"Wood, Metal Pipe",2019,,x,,,,,,,,,,x,,,,,,,,,,
Graveyard of the Arts,art_graveyard.jpg,Various,2019,,x,,,,,,,,,,,,x,,,,,,,,
Rouen,fr_rouen.jpg,Photograph,2019,,x,,,,,,,,,,,,x,,,,,,,,
Poissy,fr_seine.jpg,Photograph,2019,,x,,,,,,,,,,,,x,,,,,,,,
Points of Contention at Sculpturefest,poc_sculpturefest.jpg,"Wood, metal",2019,,x,,,,,,,,,x,,,,,,,,,,,
Black Church - Brasov,ro_blackchurch.jpg,Photograph,2019,,x,,,,,,,,,,,,,,,,,,,,
Poiana ,ro_poiana.jpg,Photograph,2019,,x,,,,,,,,,,,,,,,,,,,,
Brasov,ro_tower.jpg,Photograph,2019,,x,,,,,,,,,,,,,,,,,,,,
Series Six CAD Drawing,ss_drawing.jpg,Image Export,2019,,x,,,,,,,x,,,,,,,,,,,,,
Points of Contention at Playa del Fuego,poc_burn0.jpg,"Wood, metal",2018,,x,x,,,,,,,x,x,,,,,,,,,,,
Points of Contention at Playa del Fuego,poc_burn1.jpg,"Wood, metal",2018,,x,,,,,,,,x,x,,,,,,,,,,,
Points of Contention at Playa del Fuego,poc_burn3.jpg,"Wood, metal",2018,,x,,x,,,,,,x,x,,,,,,,,,,,
Points of Contention at Playa del Fuego,poc_burn4.jpg,"Wood, metal",2018,,x,,,,,,,,x,x,,,,,,,,,,,
Points of Contention - Design Model,poc_design.jpg,"Wood, metal",2018,,x,,,,,,,,,x,,,,,,,,,,,
Points of Contention at Governors Island Art Fair,poc_giaf.jpg,"Wood, metal",2018,,x,,,,,,,,,x,,,,,,,,,,,
